//Card Title,Card ID,Card Value,Card Type,Card Sub Type,Year,Peak,Team,LastName,FirstName,NickName,UniformNumber,DayOB,MonthOB,YearOB,Bats,Throws,Position,Pitcher Role,Contact,Gap,Power,Eye,Avoid Ks,BABIP,Contact vL,Gap vL,Power vL,Eye vL,Avoid K vL,BABIP vL,Contact vR,Gap vR,Power vR,Eye vR,Avoid K vR,BABIP vR,GB Hitter Type,FB Hitter Type,BattedBallType,Speed,Steal Rate,Stealing,Baserunning,Sac bunt,Bunt for hit,Stuff,Movement,Control,pHR,pBABIP,Stuff vL,Movement vL,Control vL,pHR vL,pBABIP vL,Stuff vR,Movement vR,Control vR,pHR vR,pBABIP vR,Fastball,Slider,Curveball,Changeup,Cutter,Sinker,Splitter,Forkball,Screwball,Circlechange,Knucklecurve,Knuckleball,Stamina,Hold,GB,Velocity,Arm Slot,Height,Infield Range,Infield Error,Infield Arm,DP,CatcherAbil,CatcherFrame,Catcher Arm,OF Range,OF Error,OF Arm,Pos Rating P,Pos Rating C,Pos Rating 1B,Pos Rating 2B,Pos Rating 3B,Pos Rating SS,Pos Rating LF,Pos Rating CF,Pos Rating RF,LearnC,Learn1B,Learn2B,Learn3B,LearnSS,LearnLF,LearnCF,LearnRF,era,tier,MissionValue,limit,owned,brefid,Buy Order High,Sell Order Low,Last 10 Price,Buy Order High(CC),Sell Order Low(CC),Last 10 Price(CC),date
MLB 2024 Live RP Guillermo Zuniga LAA,64889,43,1,0,2024,N,Los Angeles Angels,Zuniga,Guillermo,,60,10,10,1998,1,1,1,12,12,15,3,11,15,14,12,15,3,11,15,14,12,15,3,11,15,14,0,0,0,14,12,6,24,52,33,67,66,54,56,78,62,60,53,50,67,71,71,55,60,89,43,43,0,37,0,0,0,0,0,0,0,0,17,52,4,98-100,2,196,30,50,33,22,1,1,1,1,1,1,83,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,0,1,0,1,zuniga000gui,0,8,14,0,0,0,2024-04-17,
Snapshot SP Sam Zoldak SLA 1946,62647,52,7,0,1946,N,St. Louis Browns,Zoldak,Sam,Sad Sam,26,8,12,1918,2,2,1,11,50,54,49,60,55,52,49,52,47,58,54,51,51,55,50,61,56,53,2,1,0,29,16,68,16,22,10,40,73,72,65,89,39,72,72,63,87,40,74,73,66,90,31,0,34,28,0,0,0,0,0,0,0,0,74,33,3,90-92,3,183,28,57,36,24,0,0,0,10,1,4,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,zoldak001sam,6,13,14,0,5001,0,2024-03-15,
MLB 2024 Live SP Bruce Zimmermann BAL,61906,65,1,0,2024,N,Baltimore Orioles,Zimmermann,Bruce,,50,9,2,1995,2,2,1,11,18,14,6,17,16,22,18,14,6,17,16,22,20,15,7,18,17,23,2,2,0,11,16,6,10,33,11,72,68,87,65,65,74,70,88,67,68,71,67,87,65,65,76,64,61,75,0,0,0,0,0,0,0,0,62,49,2,92-94,3,188,19,20,43,13,0,0,0,3,6,5,48,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,1,2,0,1,zimmer002bru,0,45,43,0,0,0,2024-03-15,
Rookie Sensation RP Kyle Zimmer KC 2020,63639,87,3,0,2020,N,Kansas City Royals,Zimmer,Kyle,,45,13,9,1991,1,1,1,12,20,35,38,48,17,23,20,35,38,48,17,23,20,35,38,48,17,23,0,2,0,8,5,6,10,3,9,74,114,48,171,87,73,113,48,169,85,75,116,49,172,90,75,63,81,69,0,0,0,0,0,0,0,0,15,89,1,89-91,3,191,28,22,25,24,0,0,0,10,2,1,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,15,0,0,zimmer000kyl,1600,2000,1924,0,0,20001,2024-03-15,
Snapshot SP George Zettlein TRO 1872,62711,77,7,0,1872,N,Troy Haymakers,Zettlein,George,Charmer,61,18,7,1844,1,1,1,11,50,67,39,56,57,47,50,68,39,56,57,47,50,67,39,56,57,47,0,1,0,14,13,6,19,6,3,62,75,85,66,93,61,73,85,64,91,62,75,86,67,94,61,58,57,0,0,0,52,0,0,0,0,0,108,65,4,90-92,4,175,31,30,26,17,0,0,0,58,56,69,69,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,2,5,0,0,zettle001geo,0,285,163,0,15001,15001,2024-03-15,
MLB 2024 Live RP Angel Zerpa KC,61658,61,1,0,2024,N,Kansas City Royals,Zerpa,Angel,,61,27,9,1999,2,2,1,12,24,12,1,20,29,12,24,12,1,20,29,12,24,12,1,20,29,12,0,0,0,14,15,7,19,41,17,69,71,81,65,74,74,75,84,70,86,67,70,80,64,71,56,52,0,53,0,52,0,0,0,0,0,0,32,60,1,94-96,3,183,35,58,52,35,3,3,4,35,36,19,93,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,8,1,2,0,1,zerpa-000ang,0,59,57,0,0,0,2024-03-15,
MLB 2024 Live C Seby Zavala SEA,61478,42,1,0,2024,N,Seattle Mariners,Zavala,Seby,,44,28,8,1993,1,1,2,0,55,66,70,65,52,66,58,69,73,68,53,70,55,66,69,65,52,65,2,2,0,8,16,58,39,57,40,1,29,1,1,57,1,28,1,1,55,1,29,1,1,57,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4,-,3,180,22,24,49,16,68,69,66,31,33,44,0,66,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,8,0,1,0,1,zavala000seb,0,7,12,0,0,0,2024-03-15,
Snapshot C Gregg Zaun TOR 2005,62916,54,7,0,2005,N,Toronto Blue Jays,Zaun,Gregg,,9,14,4,1971,3,1,2,0,55,51,55,109,70,47,55,51,47,108,68,50,55,51,57,109,71,47,1,0,0,28,25,49,26,4,7,1,12,1,1,23,1,11,1,1,22,1,12,1,1,23,1,0,0,0,0,0,0,0,0,0,0,0,0,21,4,83-85,4,178,3,9,10,4,64,78,38,7,8,1,0,57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,0,1,zaun--001gre,8,19,21,0,5555,5715,2024-03-15,
Snapshot RP Dom Zanni CIN 1963,62599,48,7,0,1963,N,Cincinnati Reds,Zanni,Dom,,19,1,3,1932,1,1,1,12,20,35,38,47,17,24,20,35,39,48,17,24,20,35,38,47,17,24,0,2,0,17,3,11,28,26,7,92,72,31,91,56,84,68,30,82,53,99,75,32,98,58,85,90,0,0,0,0,0,0,0,0,0,0,15,55,2,90-92,4,180,36,21,27,24,0,0,0,9,9,9,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,zanni-001dom,15,25,23,0,5001,5001,2024-03-15,
Rookie Sensation SP Geoff Zahn LAD 1974,63772,73,3,0,1974,N,Los Angeles Dodgers,Zahn,Geoff,,38,19,12,1945,2,2,1,11,21,33,35,50,18,23,21,32,34,48,18,23,23,34,36,51,19,24,0,0,0,5,5,6,5,32,6,37,89,102,100,81,37,89,102,100,80,37,90,102,101,81,20,0,25,25,0,26,0,0,0,0,0,0,56,115,1,89-91,4,185,36,19,25,22,0,0,0,7,9,6,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,5,0,0,zahn--001geo,149,0,168,40000,0,18606,2024-03-15,
